Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Cell cycle,92/124,7.741403453806333e-08,2.4772491052180268e-05,0,0,2.801882575004967,45.878299161568606,CDKN1C;GSK3B;MCM7;CCNH;YWHAB;BUB1B;CDC14A;CDC14B;CDC20;CCND2;CDC23;PTTG1;YWHAQ;CDC26;CHEK2;CDC27;CHEK1;EP300;YWHAG;SKP1;YWHAH;ANAPC7;CDC25C;SMC1A;YWHAZ;CDC25A;CDC25B;CCNA2;RBL2;DBF4;RBL1;CCNE2;ESPL1;TFDP2;CCNE1;MCM3;ANAPC4;MCM4;ANAPC5;MCM5;MCM6;TP53;ANAPC2;MCM2;ANAPC13;PCNA;PRKDC;HDAC1;TTK;PKMYT1;ANAPC10;ORC5;CCNB2;CCNB1;FZR1;ORC6;CDC45;ORC3;RAD21;ORC2;E2F1;SFN;E2F3;BUB3;E2F4;E2F5;BUB1;SMAD2;ZBTB17;CREBBP;SMAD4;TGFB2;CDKN2B;SMAD3;CDKN2C;GADD45B;TGFB3;CDKN2A;PLK1;CDC7;CDC6;GADD45G;STAG1;WEE1;STAG2;CDC16;CDK2;CDK1;MDM2;ATM;ATR;MAD2L1
KEGG_2021_Human,Axon guidance,123/182,3.012682177343887e-06,0.0003676296587286377,0,0,2.0323934027513872,25.83716653073292,EPHB6;SEMA5A;RGS3;CFL2;DPYSL2;CFL1;PLXNC1;EPHB2;EPHB4;EPHB3;SEMA6A;UNC5A;EPHA8;UNC5B;SEMA6D;WNT5A;PRKCA;UNC5C;MYL5;EPHA1;RAF1;MYL9;EPHA3;NGEF;EPHA2;PIK3R3;PIK3R2;PIK3R1;EFNA5;EFNA4;PRKCZ;MYL12A;MYL12B;EFNB2;RRAS;PLXNA1;PLCG1;SRGAP3;SRGAP2;SRGAP1;PLXNA4;PLXNA3;NTNG2;FZD3;PTCH1;L1CAM;SSH2;BMP7;SSH3;PTK2;NFATC4;EFNA1;EFNA3;CXCL12;CDK5;PLXNB3;PLXNB2;PLXNB1;BMPR1B;ITGB1;ROBO2;GSK3B;NRP1;ROBO3;BMPR2;ILK;PIK3CB;RND1;ROBO1;PPP3CA;PPP3CB;PPP3CC;BOC;RAC1;NEO1;NCK1;ARHGEF12;PDPK1;TRPC1;RHOD;RHOA;RGMA;ENAH;PIK3CA;RASA1;CAMK2B;CAMK2D;ROCK1;SEMA3C;ROCK2;SRC;SEMA3A;SEMA3G;CXCR4;PARD6G;SEMA3F;NTN1;GNAI1;CDC42;ABLIM1;NRAS;PAK1;PARD6B;ABLIM2;PARD6A;ABLIM3;MAPK1;PAK6;FYN;SLIT3;LRIG2;SLIT2;PAK3;CAMK2G;PAK2;PAK4;SEMA4A;SEMA4D;LIMK2;SEMA4B;SEMA4C;PTPN11;KRAS
KEGG_2021_Human,Focal adhesion,134/201,3.4465280505809785e-06,0.0003676296587286377,0,0,1.950319233838787,24.53139460073517,TNC;ELK1;ACTB;ARHGAP35;ACTG1;IGF1R;COMP;PPP1CB;PPP1CC;CCND2;IBSP;TNN;AKT2;AKT3;CAPN2;AKT1;PDGFRB;PDGFRA;MAP2K1;HGF;PRKCA;ACTN4;PGF;MYL5;COL4A2;COL4A1;COL4A4;COL4A3;COL4A5;TLN2;TLN1;RAF1;MYL9;SHC4;SHC1;PXN;PDGFB;PDGFA;PIK3R3;PIK3R2;PIK3R1;MYL12A;MYL12B;RAP1B;RAP1A;PDGFD;CHAD;PIP5K1A;PIP5K1C;VASP;JUN;CAV2;CAV1;FN1;BRAF;PARVA;IGF1;PARVB;PTK2;COL1A1;DIAPH1;COL1A2;BCL2;COL9A3;GRB2;COL9A2;ITGB1;GSK3B;FLT1;ITGB5;ITGB4;PTEN;ILK;LAMC2;LAMC1;PIK3CB;ARHGAP5;ITGB8;RAC1;VAV3;ITGA4;VWF;ITGA3;PDPK1;ITGA2;ITGA1;RHOA;VAV2;COL2A1;PIK3CA;COL6A2;COL6A1;ITGA7;COL6A6;PPP1R12B;SOS1;CRK;DOCK1;SOS2;ITGA9;LAMA5;TNXB;LAMA2;ROCK1;ROCK2;SRC;LAMA4;XIAP;THBS1;EGFR;THBS4;THBS3;CDC42;MAPK9;PAK1;MAPK8;ERBB2;SPP1;PAK6;MAPK1;FLNB;FYN;FLNC;PAK3;PAK2;PAK4;VEGFB;VEGFC;LAMB1;PPP1CA;VEGFA;MAPK10;CTNNB1;BCAR1
KEGG_2021_Human,Autophagy,94/137,1.6638415262516538e-05,0.0012301338793734,0,0,2.128484674825304,23.42141192510648,IRS1;MTMR14;PTEN;WDR41;IRS2;HMGB1;PIK3CB;IGF1R;LAMP1;CTSL;AKT2;AKT3;LAMP2;MLST8;AKT1;SUPT20H;PRKACA;MAP3K7;PRKACB;CTSD;SNAP29;RAB8A;SH3GLB1;ATG3;GABARAPL2;RUBCN;GABARAPL1;MAP2K1;MAP2K2;PDPK1;ATG9B;DAPK2;ATG10;TSC2;RRAS2;TSC1;WIPI2;ATG12;RAB33B;ERN1;VAMP8;RRAGA;MRAS;RRAGC;PIK3CA;RRAGD;ULK2;ATG4B;ULK1;ATG4A;PIK3C3;SMCR8;RAF1;RAB7B;SQSTM1;ATG4D;BECN1;PRKAA1;MTMR3;ITPR1;PIK3R3;PIK3R2;PIK3R1;AMBRA1;MTMR4;TANK;GABARAP;CAMKK2;MAPK9;PPP2CB;MAPK8;NRAS;RRAS;ATG101;MAPK1;NRBF2;ATG7;ATG5;IGBP1;UVRAG;BNIP3;EIF2AK3;RAB39B;CFLAR;EIF2S1;MAPK10;VMP1;ATG16L2;ATG16L1;RHEB;RPS6KB2;BCL2;KRAS;BCL2L1
KEGG_2021_Human,Neurotrophin signaling pathway,83/119,1.9712610674995093e-05,0.0012301338793734,0,0,2.243997794320375,24.312037571438648,GSK3B;CALML5;IRS1;CALML4;PIK3CB;IKBKB;RPS6KA3;RPS6KA6;RPS6KA5;AKT2;ARHGDIA;AKT3;ARHGDIB;RPS6KA1;AKT1;RAC1;MAP3K5;MAP2K1;MAP2K2;PDPK1;RIPK2;GAB1;FRS2;IRAK3;RHOA;PIK3CA;MAPKAPK2;RAF1;SOS1;TP53;CRK;SOS2;SHC4;CAMK2B;BEX3;ZNF274;CAMK2D;MAGED1;SHC1;PSEN2;PIK3R3;PIK3R2;PIK3R1;RAP1B;CDC42;MAPK9;MAPK8;NRAS;RAP1A;MAPK7;IRAK1;IRAK2;MAPK1;PLCG1;MAP2K7;CAMK2G;SH2B3;MAP2K5;SH2B2;SH2B1;MAP3K3;NTRK2;JUN;MAP3K1;BDNF;KIDINS220;SORT1;NTRK3;BRAF;PTPN11;MAPK14;MAPK12;MAPK13;MAPK10;BCL2;BAX;CALM3;GRB2;KRAS;CALM1;NFKBIE;NFKBIB;TP73
KEGG_2021_Human,FoxO signaling pathway,90/131,2.306501023825278e-05,0.0012301338793734,0,0,2.136908049652606,22.81618137265469,IRS1;SETD7;ARAF;FBXO25;PRKAG1;PTEN;PRKAG2;IRS2;PIK3CB;IGF1R;IKBKB;CCND2;AKT2;AKT3;TNFSF10;AKT1;EP300;HOMER3;GABARAPL2;GABARAPL1;MAP2K1;USP7;MAP2K2;CHUK;PDPK1;PRMT1;CSNK1E;SIRT1;ATG12;TGFBR1;TGFBR2;RBL2;PIK3CA;CAT;RAF1;SOS1;SGK2;SOS2;PRKAA1;FOXO6;PIK3R3;PIK3R2;PIK3R1;NLK;STK4;FOXO1;GABARAP;EGFR;CCNB2;MAPK9;CCNB1;MAPK8;NRAS;BCL2L11;S1PR1;MAPK1;PCK1;PLK4;CREBBP;SMAD4;TGFB2;CDKN2B;SMAD3;GADD45B;HOMER1;HOMER2;TGFB3;INSR;PLK2;BNIP3;PLK1;BRAF;IGF1;FBXO32;MAPK14;SOD2;KLF2;MAPK12;GADD45G;MAPK13;MAPK10;IL6;BCL6;CCNG2;CDK2;MDM2;ATM;GRB2;KRAS;IL7R
KEGG_2021_Human,Prostate cancer,68/97,8.422435034786865e-05,0.0038502560159025,0,0,2.280455213424012,21.39529120334705,GSK3B;HSP90AB1;ARAF;PTEN;PIK3CB;IGF1R;IKBKB;CREB3L4;PLAU;AKT2;CREB3L1;AKT3;AKT1;EP300;NKX3-1;PDGFRB;PDGFRA;MAP2K1;HSP90AA1;MAP2K2;CHUK;PDPK1;IL1R2;MMP3;MMP9;ETV5;AR;CREB1;ZEB1;CCNE2;SPINT1;PIK3CA;CCNE1;ERG;RAF1;SOS1;TP53;SOS2;CREB5;GSTP1;LEF1;PDGFB;PDGFA;PIK3R3;TMPRSS2;PIK3R2;PIK3R1;FOXO1;EGFR;NRAS;PDGFD;ERBB2;E2F1;MAPK1;E2F3;TCF7L2;CREBBP;TCF7L1;BRAF;IGF1;CDK2;BCL2;MDM2;CTNNB1;GRB2;KRAS;FGFR2;FGFR1
KEGG_2021_Human,Proteoglycans in cancer,130/205,0.00016824415539620126,0.006729766215848,0,0,1.6882196516420689,14.670788018575925,ARAF;FZD10;ELK1;FGF2;ACTB;ACTG1;IGF1R;PPP1CB;PPP1CC;PLAU;AKT2;AKT3;AKT1;PRKACA;PRKACB;MAP2K1;MAP2K2;HGF;WNT5A;ANK2;FRS2;PRKCA;ANK3;ANK1;TIAM1;EZR;RAF1;TP53;SDC4;SDC2;PXN;TWIST2;ITPR1;PIK3R3;TWIST1;PIK3R2;ITPR3;PIK3R1;SLC9A1;WNT6;RRAS;PLCG1;FZD1;SMAD2;FZD3;WNT10A;TGFB2;FZD2;FZD5;FZD4;CAV2;CAV1;PTCH1;FZD6;RDX;FN1;BRAF;IGF1;ESR1;PTK2;COL1A1;COL1A2;MDM2;SDC1;GRB2;HPSE;FGFR1;ITGB1;WNT2B;ITGB5;HSPB2;PIK3CB;CTSL;TIMP3;RAC1;VAV3;ARHGEF12;PDPK1;ITGA2;GAB1;RRAS2;MIR21;WNT9A;NUDT16L1;MMP9;RHOA;DCN;VAV2;MRAS;CTTN;PIK3CA;PPP1R12B;SOS1;TLR4;SOS2;CD44;HBEGF;CAMK2B;CAMK2D;ROCK1;ROCK2;SRC;THBS1;EGFR;CDC42;NRAS;PAK1;WNT11;ERBB3;ERBB4;GPC1;ERBB2;GPC3;DROSHA;MAPK1;FLNB;FLNC;CAMK2G;EIF4B;PTPN11;MAPK14;MAPK12;PPP1CA;VEGFA;MAPK13;RPS6KB2;CTNNB1;FAS;KRAS;PTPN6
KEGG_2021_Human,Protein processing in endoplasmic reticulum,110/171,0.00023003005116002185,0.0081788462634674,0,0,1.7553611517176568,14.70518803013032,ERO1A;ERO1B;UBE2D4;TUSC3;UBXN2A;UBE2D2;UBE2D3;UBE2D1;CAPN2;CAPN1;SEC62;MAP3K5;SEC63;SKP1;PDIA3;FBXO2;DNAJB12;MOGS;PDIA6;PDIA4;ERN1;DNAJB11;ERP29;PLAA;ATF6;VCP;RPN2;SAR1A;HSPA4L;RPN1;SEL1L;SEL1L2;UBE2J2;HSPBP1;ATXN3;HSPH1;BAG2;BAG1;MAP2K7;SEC31B;SEC31A;XBP1;HSPA5;WFS1;EDEM1;EIF2AK1;EIF2AK3;HSPA2;EIF2S1;NSFL1C;DNAJC10;BCL2;STT3A;HYOU1;CALR;NFE2L2;TRAM1;HSP90AB1;UBXN1;PRKCSH;NGLY1;SEC61A2;SEC61A1;MAN1A2;UBXN8;MAN1A1;SEC61B;UBXN4;HSP90AA1;SSR4;SSR2;TRAF2;RAD23B;CKAP4;DDOST;DNAJC3;DNAJC1;DNAJC5;CANX;MAN1B1;CRYAB;PPP1R15A;SEC23A;ATF6B;DERL3;RRBP1;DNAJB2;MAPK9;GANAB;MAPK8;LMAN2;MAN1C1;BAK1;UGGT2;SEC23B;UBQLN4;UGGT1;UBQLN2;SEC24A;HSPA1L;UBE2G1;UBE2G2;SVIP;MAPK10;DNAJA2;BAX;P4HB;SEC24D;SEC24C;HSPA1B
KEGG_2021_Human,Cellular senescence,101/156,0.0002868417166043184,0.0091789349313381,0,0,1.7870628327623457,14.576320968372537,CALML5;SERPINE1;CALML4;PPP1CB;PPP1CC;CCND2;AKT2;CHEK2;AKT3;CHEK1;CAPN2;AKT1;CAPN1;BTRC;MAP2K1;MAP2K2;HLA-B;HLA-C;TSC2;TSC1;HLA-A;HLA-F;HLA-G;CDC25A;CCNE2;CCNE1;MAPKAPK2;VDAC2;RAF1;SQSTM1;TP53;PPID;ITPR1;PIK3R3;CACNA1D;ITPR3;PIK3R2;PIK3R1;FOXO1;ZFP36L2;ZFP36L1;CCNB2;CCNB1;RRAS;TRPM7;SMAD2;TGFB2;SMAD3;GADD45B;TGFB3;NFATC1;GADD45G;NFATC4;IL6;RHEB;CDK2;CDK1;MDM2;ATM;CALM3;CALM1;MCU;ATR;RAD9A;PTEN;PIK3CB;FOXM1;PPP3CA;PPP3CB;PPP3CC;MYBL2;LIN52;RRAS2;SIRT1;TGFBR1;TGFBR2;CCNA2;RBL2;MRAS;RBL1;PIK3CA;SLC25A6;LIN9;NRAS;RBBP4;E2F1;MAPK1;E2F3;E2F4;E2F5;HIPK4;CDKN2B;CDKN2A;MAPK14;HIPK3;MAPK12;HIPK2;MAPK13;PPP1CA;KRAS;RAD1
