Gene,logFC,p_value,adj_p
205941_s_at,3.5923767609960398,2.381322096941732e-37,1.299701787289828e-32
223540_at,1.8649321363093883,3.4695956987435014e-30,9.468353182086078e-26
59697_at,1.6786390538597291,1.012895335717497e-26,1.8427604842708424e-22
1557289_s_at,2.1271589503659487,6.714833569926331e-26,8.740945652511417e-22
227641_at,3.054368928384614,8.00760883536838e-26,8.740945652511417e-22
217428_s_at,3.562617351289027,1.774347788168325e-25,1.5286310294395466e-21
236462_at,1.5674910578478514,1.9605374239317002e-25,1.5286310294395466e-21
203878_s_at,3.4047777578755647,4.797245920352325e-25,3.2728610635863695e-21
235538_at,2.5395486699632346,6.616864623909046e-25,4.0126872700925766e-21
236659_x_at,1.3797706796023763,2.8158485845863663e-24,1.536861998981393e-20
220085_at,2.110310588679866,4.583973196128406e-24,2.084905608929102e-20
204379_s_at,2.8189632265848408,4.4030544717802965e-24,2.084905608929102e-20
230093_at,1.8621347982251173,6.887048979125873e-24,2.8914480479362385e-20
242056_at,2.124395065545815,1.4918060040072707e-23,5.815805706622345e-20
221973_at,2.789247531343327,2.7590035687134534e-23,1.0038910385120771e-19
229276_at,1.7021726698925335,4.3408572761278654e-23,1.4807478079611423e-19
226791_at,1.8515676922929858,4.871530244189513e-23,1.564019112927173e-19
213909_at,3.6399782894564487,7.618718884875067e-23,2.310122544542202e-19
230152_at,1.375960933580879,1.6785236916435695e-22,4.821691819274441e-19
227177_at,1.3462979901923058,3.217890004047583e-22,8.781460926545653e-19
203911_at,1.8468638465888025,3.509981189206343e-22,9.122441110747285e-19
240908_at,2.048898098088234,3.754315134211124e-22,9.313943895914043e-19
1561166_a_at,1.6417410955774896,1.0715874376369565e-21,2.5428769895124978e-18
225687_at,2.4751788655684392,1.5986873049398363e-21,3.635614767346305e-18
223229_at,2.057001598964366,1.8426882825067435e-21,4.022883350837422e-18
204678_s_at,1.9628893802483036,1.969392981192923e-21,4.0932566212430185e-18
220035_at,1.1558911019785052,2.0249167037424925e-21,4.0932566212430185e-18
212858_at,2.447044942537332,3.327433391607097e-21,6.4859995385901336e-18
1565717_s_at,1.209097721743778,4.026908917121998e-21,7.578781440951776e-18
236700_at,1.7405683622426462,4.841575142360045e-21,8.524139667576415e-18
225617_at,1.0727249282454738,4.730715472026862e-21,8.524139667576415e-18
219786_at,1.7926704858925357,5.805185942226093e-21,9.901288860648686e-18
210480_s_at,1.6844281894259039,6.605019386673136e-21,1.0924101609249487e-17
202986_at,2.323822926427604,9.68188701756123e-21,1.55419915156316e-17
212472_at,1.972143196995472,1.0504824740528105e-20,1.6381223700379527e-17
234199_at,1.5271199015729615,1.9040838462805328e-20,2.8867497846151446e-17
222723_at,1.334554713037332,2.820465718692394e-20,4.160491850284113e-17
238028_at,1.0200548079722842,4.3607878842333997e-20,6.263353735094072e-17
239155_at,2.748103521766403,4.737631583508298e-20,6.630133184520496e-17
226121_at,1.9870039024564496,4.8721912402493916e-20,6.64798314253929e-17
236279_at,1.51712737100905,5.060496534208339e-20,6.736508300989193e-17
1562416_at,1.318570545254523,5.7723459249603e-20,7.50116352948591e-17
1559491_at,2.8777346249530558,6.446216361874517e-20,8.182047507319751e-17
239653_at,1.5146920969570128,8.301794453167485e-20,1.0207206427658352e-16
226350_at,1.9329482287194582,8.415769604511366e-20,1.0207206427658352e-16
204351_at,4.353546763707579,1.235951958609681e-19,1.4664569988903864e-16
223575_at,0.9905890005079185,1.303836877296588e-19,1.5140875090632018e-16
233198_at,1.2658679070367649,1.3372947063429314e-19,1.5205876620310594e-16
230324_at,1.1068567174705866,1.5824103065912445e-19,1.7625790229274192e-16
230951_at,1.4788788676911757,1.7381723705516822e-19,1.8973541962468053e-16
218009_s_at,3.4030210671057732,2.4307585633510504e-19,2.6013406201791567e-16
