Gene,logFC,p_value,adj_p,ID,Gene symbol,Gene title
205941_s_at,3.59237676099604,2.381322096941732e-37,1.299701787289828e-32,205941_s_at,COL10A1,collagen type X alpha 1 chain
223540_at,1.8649321363093885,3.4695956987435014e-30,9.468353182086078e-26,223540_at,NECTIN4,nectin cell adhesion molecule 4
59697_at,1.6786390538597291,1.012895335717497e-26,1.8427604842708424e-22,59697_at,RAB15,"RAB15, member RAS oncogene family"
1557289_s_at,2.1271589503659487,6.714833569926331e-26,8.740945652511417e-22,1557289_s_at,GTF2IRD2,GTF2I repeat domain containing 2
227641_at,3.054368928384614,8.00760883536838e-26,8.740945652511417e-22,227641_at,FBXL16,F-box and leucine rich repeat protein 16
217428_s_at,3.562617351289027,1.774347788168325e-25,1.5286310294395466e-21,217428_s_at,COL10A1,collagen type X alpha 1 chain
236462_at,1.5674910578478514,1.9605374239317e-25,1.5286310294395466e-21,236462_at,,
203878_s_at,3.4047777578755647,4.797245920352325e-25,3.2728610635863695e-21,203878_s_at,MMP11,matrix metallopeptidase 11
235538_at,2.5395486699632346,6.6168646239090455e-25,4.012687270092577e-21,235538_at,,
236659_x_at,1.3797706796023763,2.8158485845863663e-24,1.536861998981393e-20,236659_x_at,,
220085_at,2.110310588679866,4.583973196128406e-24,2.084905608929102e-20,220085_at,HELLS,"helicase, lymphoid-specific"
204379_s_at,2.8189632265848408,4.4030544717802965e-24,2.084905608929102e-20,204379_s_at,FGFR3,fibroblast growth factor receptor 3
230093_at,1.8621347982251173,6.887048979125873e-24,2.8914480479362385e-20,230093_at,RSPH1,radial spoke head 1 homolog
242056_at,2.124395065545815,1.4918060040072707e-23,5.815805706622345e-20,242056_at,TRIM45,tripartite motif containing 45
221973_at,2.789247531343327,2.7590035687134534e-23,1.0038910385120773e-19,221973_at,LOC100506123///LOC100506076,uncharacterized LOC100506123///uncharacterized LOC100506076
229276_at,1.7021726698925337,4.340857276127866e-23,1.4807478079611425e-19,229276_at,IGSF9,immunoglobulin superfamily member 9
226791_at,1.8515676922929856,4.871530244189513e-23,1.564019112927173e-19,226791_at,KIFC2,kinesin family member C2
213909_at,3.6399782894564487,7.618718884875067e-23,2.310122544542202e-19,213909_at,LRRC15,leucine rich repeat containing 15
230152_at,1.375960933580879,1.6785236916435697e-22,4.821691819274441e-19,230152_at,CFAP44,cilia and flagella associated protein 44
227177_at,1.3462979901923058,3.217890004047583e-22,8.781460926545653e-19,227177_at,CORO2A,coronin 2A
203911_at,1.8468638465888023,3.509981189206343e-22,9.122441110747285e-19,203911_at,RAP1GAP,RAP1 GTPase activating protein
240908_at,2.048898098088234,3.754315134211124e-22,9.313943895914045e-19,240908_at,,
1561166_a_at,1.6417410955774896,1.0715874376369565e-21,2.5428769895124978e-18,1561166_a_at,,
225687_at,2.4751788655684392,1.5986873049398365e-21,3.635614767346305e-18,225687_at,FAM83D,family with sequence similarity 83 member D
223229_at,2.057001598964366,1.842688282506744e-21,4.022883350837422e-18,223229_at,UBE2T,ubiquitin conjugating enzyme E2 T
204678_s_at,1.962889380248304,1.969392981192923e-21,4.0932566212430185e-18,204678_s_at,KCNK1,potassium two pore domain channel subfamily K member 1
220035_at,1.1558911019785052,2.0249167037424925e-21,4.0932566212430185e-18,220035_at,NUP210,nucleoporin 210
212858_at,2.447044942537332,3.327433391607097e-21,6.485999538590134e-18,212858_at,PAQR4,progestin and adipoQ receptor family member 4
1565717_s_at,1.209097721743778,4.026908917121998e-21,7.578781440951776e-18,1565717_s_at,FUS,FUS RNA binding protein
236700_at,1.7405683622426462,4.841575142360045e-21,8.524139667576415e-18,236700_at,EIF3C,eukaryotic translation initiation factor 3 subunit C
225617_at,1.0727249282454738,4.730715472026862e-21,8.524139667576415e-18,225617_at,ODF2,outer dense fiber of sperm tails 2
219786_at,1.7926704858925355,5.805185942226093e-21,9.901288860648686e-18,219786_at,TESMIN,testis expressed metallothionein like protein
210480_s_at,1.684428189425904,6.605019386673135e-21,1.0924101609249489e-17,210480_s_at,MYO6,myosin VI
202986_at,2.323822926427604,9.68188701756123e-21,1.55419915156316e-17,202986_at,ARNT2,aryl hydrocarbon receptor nuclear translocator 2
212472_at,1.972143196995472,1.0504824740528104e-20,1.638122370037953e-17,212472_at,MICAL2,"microtubule associated monooxygenase, calponin and LIM domain containing 2"
234199_at,1.5271199015729615,1.9040838462805328e-20,2.886749784615145e-17,234199_at,,
222723_at,1.334554713037332,2.820465718692394e-20,4.160491850284113e-17,222723_at,VWA1,von Willebrand factor A domain containing 1
238028_at,1.0200548079722842,4.3607878842333997e-20,6.263353735094071e-17,238028_at,C6orf132,chromosome 6 open reading frame 132
239155_at,2.748103521766403,4.7376315835082984e-20,6.630133184520495e-17,239155_at,CXADR,coxsackie virus and adenovirus receptor
226121_at,1.9870039024564496,4.8721912402493916e-20,6.64798314253929e-17,226121_at,DHRS13,dehydrogenase/reductase 13
236279_at,1.51712737100905,5.0604965342083394e-20,6.736508300989193e-17,236279_at,,
1562416_at,1.318570545254523,5.7723459249603e-20,7.50116352948591e-17,1562416_at,,
1559491_at,2.877734624953056,6.446216361874517e-20,8.182047507319751e-17,1559491_at,,
239653_at,1.5146920969570128,8.301794453167486e-20,1.0207206427658351e-16,239653_at,,
226350_at,1.9329482287194584,8.415769604511366e-20,1.0207206427658351e-16,226350_at,CHML,"CHM like, Rab escort protein 2"
204351_at,4.353546763707579,1.235951958609681e-19,1.4664569988903864e-16,204351_at,S100P,S100 calcium binding protein P
223575_at,0.9905890005079184,1.303836877296588e-19,1.5140875090632018e-16,223575_at,KIAA1549,KIAA1549
233198_at,1.2658679070367649,1.3372947063429314e-19,1.5205876620310594e-16,233198_at,GOLGA2P5,golgin A2 pseudogene 5
230324_at,1.1068567174705866,1.5824103065912445e-19,1.7625790229274192e-16,230324_at,,
230951_at,1.4788788676911755,1.7381723705516822e-19,1.897354196246805e-16,230951_at,EPB41L5,erythrocyte membrane protein band 4.1 like 5
218009_s_at,3.403021067105773,2.4307585633510504e-19,2.6013406201791567e-16,218009_s_at,PRC1,protein regulator of cytokinesis 1
1559401_a_at,1.6242911266091644,2.7421243807487087e-19,2.8781232034016112e-16,1559401_a_at,,
1556432_at,0.912844192651018,3.509065944902149e-19,3.613609626543668e-16,1556432_at,,
223233_s_at,2.4888052578619897,3.9313688560924905e-19,3.9735218666050383e-16,223233_s_at,CGN,cingulin
236534_at,2.603686929804863,4.343685497896123e-19,4.310436559812228e-16,236534_at,BNIPL///C1orf56,BCL2 interacting protein like///chromosome 1 open reading frame 56
219411_at,1.8419316666860877,5.28694052898831e-19,5.15278441306523e-16,219411_at,ELMO3,engulfment and cell motility 3
1553015_a_at,1.354663936759616,7.441303511729121e-19,7.125243936257257e-16,1553015_a_at,RECQL4,RecQ like helicase 4
226566_at,1.617754978513008,7.782446084657337e-19,7.323415945767461e-16,226566_at,TRIM11,tripartite motif containing 11
231815_at,1.3289801984106329,8.596548870533741e-19,7.952390522116289e-16,231815_at,PHF12,PHD finger protein 12
235152_at,1.5432452183371037,9.92006679858784e-19,9.023788763335428e-16,235152_at,LOC101927204,uncharacterized LOC101927204
235542_at,2.276297726359731,1.011001911029459e-18,9.045815295422433e-16,235542_at,TET3,tet methylcytosine dioxygenase 3
204967_at,1.174013983019797,1.258960012001411e-18,1.1082706208875001e-15,204967_at,SHROOM2,shroom family member 2
240240_at,0.8270612539615363,1.6168334269852432e-18,1.4007166922448824e-15,240240_at,,
222338_x_at,1.4336416641804322,1.674485886255868e-18,1.4279963310306097e-15,222338_x_at,,
205713_s_at,3.433592449523757,1.888063390000909e-18,1.5853632578901481e-15,205713_s_at,COMP,cartilage oligomeric matrix protein
206546_at,2.1962704917494364,2.406858023332229e-18,1.990362182658329e-15,206546_at,SYCP2,synaptonemal complex protein 2
242922_at,0.7696673260197961,2.9135689505175998e-18,2.373428055974628e-15,242922_at,NOMO3,NODAL modulator 3
211048_s_at,1.529249144807693,3.6736716768576175e-18,2.9486077419295865e-15,211048_s_at,PDIA4,protein disulfide isomerase family A member 4
