Gene,logFC,p_value,adj_p,ID,Gene symbol,Gene title
205941_s_at,3.59237676099604,2.381322096941732e-37,1.299701787289828e-32,205941_s_at,COL10A1,collagen type X alpha 1 chain
223540_at,1.8649321363093885,3.4695956987435014e-30,9.468353182086078e-26,223540_at,NECTIN4,nectin cell adhesion molecule 4
59697_at,1.6786390538597291,1.012895335717497e-26,1.8427604842708424e-22,59697_at,RAB15,"RAB15, member RAS oncogene family"
1557289_s_at,2.1271589503659487,6.714833569926331e-26,8.740945652511417e-22,1557289_s_at,GTF2IRD2,GTF2I repeat domain containing 2
227641_at,3.054368928384614,8.00760883536838e-26,8.740945652511417e-22,227641_at,FBXL16,F-box and leucine rich repeat protein 16
217428_s_at,3.562617351289027,1.774347788168325e-25,1.5286310294395466e-21,217428_s_at,COL10A1,collagen type X alpha 1 chain
203878_s_at,3.4047777578755647,4.797245920352325e-25,3.2728610635863695e-21,203878_s_at,MMP11,matrix metallopeptidase 11
220085_at,2.110310588679866,4.583973196128406e-24,2.084905608929102e-20,220085_at,HELLS,"helicase, lymphoid-specific"
204379_s_at,2.8189632265848408,4.4030544717802965e-24,2.084905608929102e-20,204379_s_at,FGFR3,fibroblast growth factor receptor 3
230093_at,1.8621347982251173,6.887048979125873e-24,2.8914480479362385e-20,230093_at,RSPH1,radial spoke head 1 homolog
242056_at,2.124395065545815,1.4918060040072707e-23,5.815805706622345e-20,242056_at,TRIM45,tripartite motif containing 45
221973_at,2.789247531343327,2.7590035687134534e-23,1.0038910385120773e-19,221973_at,LOC100506123///LOC100506076,uncharacterized LOC100506123///uncharacterized LOC100506076
229276_at,1.7021726698925337,4.340857276127866e-23,1.4807478079611425e-19,229276_at,IGSF9,immunoglobulin superfamily member 9
226791_at,1.8515676922929856,4.871530244189513e-23,1.564019112927173e-19,226791_at,KIFC2,kinesin family member C2
213909_at,3.6399782894564487,7.618718884875067e-23,2.310122544542202e-19,213909_at,LRRC15,leucine rich repeat containing 15
230152_at,1.375960933580879,1.6785236916435697e-22,4.821691819274441e-19,230152_at,CFAP44,cilia and flagella associated protein 44
227177_at,1.3462979901923058,3.217890004047583e-22,8.781460926545653e-19,227177_at,CORO2A,coronin 2A
203911_at,1.8468638465888023,3.509981189206343e-22,9.122441110747285e-19,203911_at,RAP1GAP,RAP1 GTPase activating protein
225687_at,2.4751788655684392,1.5986873049398365e-21,3.635614767346305e-18,225687_at,FAM83D,family with sequence similarity 83 member D
223229_at,2.057001598964366,1.842688282506744e-21,4.022883350837422e-18,223229_at,UBE2T,ubiquitin conjugating enzyme E2 T
